"filename", "language", "JSON", "TypeScript", "TypeScript React", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Avet\Sources\tourtool-client\src\redux\register\actions.ts", "TypeScript", 0, 83, 0, 0, 0, 0, 0, 16, 99
"c:\Users\Avet\Sources\tourtool-client\src\redux\register\reducer.ts", "TypeScript", 0, 120, 0, 0, 0, 0, 7, 7, 134
"c:\Users\Avet\Sources\tourtool-client\src\redux\register\types.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 7, 56
"c:\Users\Avet\Sources\tourtool-client\src\redux\settings\actions.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Avet\Sources\tourtool-client\src\redux\settings\reducer.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Avet\Sources\tourtool-client\src\redux\settings\types.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Avet\Sources\tourtool-client\src\redux\store.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Avet\Sources\tourtool-client\src\redux\tournamentEntities\actions.ts", "TypeScript", 0, 136, 0, 0, 0, 0, 0, 27, 163
"c:\Users\Avet\Sources\tourtool-client\src\redux\tournamentEntities\reducer.ts", "TypeScript", 0, 187, 0, 0, 0, 0, 3, 3, 193
"c:\Users\Avet\Sources\tourtool-client\src\redux\tournamentEntities\types.ts", "TypeScript", 0, 99, 0, 0, 0, 0, 0, 4, 103
"c:\Users\Avet\Sources\tourtool-client\src\redux\user\actions.ts", "TypeScript", 0, 99, 0, 0, 0, 0, 0, 16, 115
"c:\Users\Avet\Sources\tourtool-client\src\redux\user\reducer.ts", "TypeScript", 0, 143, 0, 0, 0, 0, 0, 4, 147
"c:\Users\Avet\Sources\tourtool-client\src\redux\user\types.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 0, 4, 71
"c:\Users\Avet\Sources\tourtool-client\src\reportWebVitals.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Avet\Sources\tourtool-client\src\resources\icons\drawYourPartner.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\Avet\Sources\tourtool-client\src\resources\icons\elimination.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
